Link,Bookshelf,Type_Bookshelf,Category,Sub_Category,Book_name,Quantity_Sold,Undiscounted_price,Discounted_price,Percent_discount,Time_Delivery,Shipping_fee,Bookstore
GIAO SIÊU TỐC 2HStorytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu)Đã bán 1000+223.300 ₫-30%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),Đã bán 1000+,319.000 ₫,223.300 ₫,-30%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Tiền Đẻ Ra Tiền: Đầu Tư Tài Chính Thông MinhĐã bán 5373.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Tiền Đẻ Ra Tiền: Đầu Tư Tài Chính Thông Minh,Đã bán 53,0,73.000 ₫,0,"Thứ 7, ngày 28/0518.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 30 ASA",18.000đ (Freeship 30K đh 149K),Momo Books
Cẩm Nang Kinh Tế Học (Tái Bản)Đã bán 10129.350 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Cẩm Nang Kinh Tế Học (Tái Bản),Đã bán 10,199.000 ₫,129.350 ₫,-35%,"Thứ 7, ngày 28/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,ETS Books
"Cổ Phiếu Thường, Lợi Nhuận Phi Thường (Tái Bản)Đã bán 1000+137.000 ₫-31%",Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,"Cổ Phiếu Thường, Lợi Nhuận Phi Thường (Tái Bản)",Đã bán 1000+,199.000 ₫,137.000 ₫,-31%,"Thứ 4, ngày 25/0518.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 30 ASA",18.000đ (Freeship 30K đh 149K),Tiki Trading
GIAO SIÊU TỐC 2H90-20-30 90 Bài Học Vỡ Lòng Về Ý Tưởng Và Câu Chữ (Bản Đen Trắng)Đã bán 1000+159.000 ₫-18%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,90-20-30 90 Bài Học Vỡ Lòng Về Ý Tưởng Và Câu Chữ (Bản Đen Trắng),Đã bán 1000+,195.000 ₫,159.000 ₫,-18%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HLập Kế Hoạch Công Việc Theo Chu Trình PDCA - Bí Quyết Phát Triển Thần Kỳ Của Các Doanh Nghiệp Nhật BảnĐã bán 1000+77.400 ₫-40%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Lập Kế Hoạch Công Việc Theo Chu Trình PDCA - Bí Quyết Phát Triển Thần Kỳ Của Các Doanh Nghiệp Nhật Bản,Đã bán 1000+,129.000 ₫,77.400 ₫,-40%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
"GIAO SIÊU TỐC 2HKinh Doanh Nhỏ, Thu Lợi LớnĐã bán 1000+55.500 ₫-30%",Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,"Kinh Doanh Nhỏ, Thu Lợi Lớn",Đã bán 1000+,79.000 ₫,55.500 ₫,-30%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Combo bộ sách kinh tế hay Bí mật secret + the magic phép màu + secret the power sức mạnhĐã bán 1000+635.200 ₫-20%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Combo bộ sách kinh tế hay Bí mật secret + the magic phép màu + secret the power sức mạnh,Đã bán 1000+,794.000 ₫,635.200 ₫,-20%,"Thứ 4, ngày 25/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,trungthanh2018
Nền Kinh Tế Tăng Trưởng Và Sụp Đổ Như Thế Nào? (Tái Bản)Đã bán 284121.600 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Nền Kinh Tế Tăng Trưởng Và Sụp Đổ Như Thế Nào? (Tái Bản),Đã bán 284,0,121.600 ₫,0,"Thứ 4, ngày 25/0510.000đFreeship 100% chỉ với 16 ASA",10.000đ,DTBOOKS
Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế (Tái Bản)Đã bán 1000+123.500 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Lời Thú Tội Mới Của Một Sát Thủ Kinh Tế (Tái Bản),Đã bán 1000+,190.000 ₫,123.500 ₫,-35%,"Thứ 7, ngày 28/0518.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 30 ASA",18.000đ (Freeship 30K đh 149K),Tân Việt
